window_start,market,tweet_count,unique_authors,engagement_total,bullish_count,bearish_count,neutral_count,composite_signal,ci95_lower,ci95_upper,confidence,manipulation_risk_mean
2026-08-03T08:15:00+00:00,banknifty,2,2,520,0,0,2,0.0,0.0,0.0,0.5725,0.0
2026-08-03T08:15:00+00:00,intraday,1,1,397,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-03T08:15:00+00:00,nifty50,2,2,708,0,1,1,-0.16668,-0.493347,0.159986,0.507167,0.0
2026-08-03T08:15:00+00:00,sensex,1,1,533,1,0,0,0.35,0.35,0.35,0.56125,1.0
2026-08-03T08:30:00+00:00,banknifty,6,6,1977,2,2,2,0.006517,-1.0,1.0,0.4175,0.0
2026-08-03T08:30:00+00:00,intraday,4,4,816,0,0,4,0.0,0.0,0.0,0.595,0.0
2026-08-03T08:30:00+00:00,nifty50,6,6,2213,4,1,1,0.609907,-0.091121,1.0,0.477294,0.0
2026-08-03T08:30:00+00:00,sensex,12,12,3858,2,6,4,-0.3249,-0.987234,0.337434,0.552533,0.0
2026-08-03T08:45:00+00:00,banknifty,11,11,2957,3,6,2,-0.279344,-1.0,0.512694,0.515342,0.0
2026-08-03T08:45:00+00:00,intraday,6,6,1849,3,0,3,0.494248,-0.129837,1.0,0.492683,0.0
2026-08-03T08:45:00+00:00,nifty50,3,3,708,1,2,0,0.120441,-1.0,1.0,0.38375,0.0
2026-08-03T08:45:00+00:00,sensex,6,6,1644,3,2,1,0.032759,-1.0,1.0,0.4175,0.166667
2026-08-03T09:00:00+00:00,banknifty,7,7,1627,2,4,1,-0.296652,-1.0,0.714597,0.42875,0.0
2026-08-03T09:00:00+00:00,intraday,6,6,1984,5,0,1,0.83128,0.36893,1.0,0.52503,0.0
2026-08-03T09:00:00+00:00,nifty50,4,4,1055,1,1,2,0.167854,-0.590717,0.926425,0.443286,0.0
2026-08-03T09:00:00+00:00,sensex,9,9,3363,5,2,2,0.334053,-0.480155,1.0,0.488408,0.0
2026-08-03T09:15:00+00:00,banknifty,8,8,2951,3,3,2,-0.003503,-0.914008,0.907003,0.457899,0.0
2026-08-03T09:15:00+00:00,intraday,7,7,1927,4,0,3,0.70051,0.130229,1.0,0.514694,0.285714
2026-08-03T09:15:00+00:00,nifty50,13,13,3676,3,3,7,0.154591,-0.246136,0.555318,0.616105,0.0
2026-08-03T09:15:00+00:00,sensex,4,4,1534,1,3,0,-0.500084,-1.0,0.788787,0.395,0.0
2026-08-03T09:30:00+00:00,banknifty,7,7,1887,3,1,3,0.29525,-0.477354,1.0,0.474229,0.0
2026-08-03T09:30:00+00:00,intraday,12,12,4644,3,0,9,0.276185,-0.128126,0.680495,0.604138,0.166667
2026-08-03T09:30:00+00:00,nifty50,10,10,2835,1,4,5,-0.033503,-0.387894,0.320888,0.591622,0.0
2026-08-03T09:30:00+00:00,sensex,5,5,2020,3,1,1,0.40083,-0.649421,1.0,0.40625,0.0
2026-08-03T09:45:00+00:00,banknifty,5,5,998,1,0,4,0.200389,-0.324519,0.725298,0.501268,0.0
2026-08-03T09:45:00+00:00,intraday,4,4,1435,2,0,2,0.500559,-0.22354,1.0,0.45018,0.0
2026-08-03T09:45:00+00:00,nifty50,5,5,1715,3,2,0,0.456001,-0.405353,1.0,0.433979,0.0
2026-08-03T09:45:00+00:00,sensex,4,4,1372,1,2,1,-0.254727,-1.0,0.94837,0.395,0.0
2026-08-03T10:00:00+00:00,banknifty,7,7,2648,3,2,2,0.140604,-0.769062,1.0,0.446817,0.0
2026-08-03T10:00:00+00:00,intraday,8,8,2751,1,0,7,0.135273,-0.2266,0.497145,0.567625,0.125
2026-08-03T10:00:00+00:00,nifty50,5,5,980,2,1,2,0.319697,-0.411298,1.0,0.460051,0.0
2026-08-03T10:00:00+00:00,sensex,2,2,326,2,0,0,1.0,1.0,1.0,0.5725,0.0
2026-08-03T10:15:00+00:00,banknifty,9,9,3026,4,4,1,-0.001481,-0.898454,0.895492,0.471855,0.0
2026-08-03T10:15:00+00:00,intraday,13,13,3925,6,0,7,0.483647,0.076097,0.891197,0.61474,0.076923
2026-08-03T10:15:00+00:00,nifty50,4,4,1297,2,1,1,0.415318,-0.431225,1.0,0.425692,0.0
2026-08-03T10:15:00+00:00,sensex,3,3,799,2,0,1,0.679747,-0.095758,1.0,0.428649,0.0
2026-08-03T10:30:00+00:00,banknifty,7,7,1943,3,2,2,0.141242,-0.745465,1.0,0.451409,0.0
2026-08-03T10:30:00+00:00,intraday,8,8,3297,2,0,6,0.299852,-0.198557,0.798262,0.540318,0.25
2026-08-03T10:30:00+00:00,nifty50,4,4,992,2,2,0,0.330445,-0.607961,1.0,0.407319,0.0
2026-08-03T10:30:00+00:00,sensex,12,12,3793,7,2,3,0.359923,-0.27574,0.995585,0.557868,0.083333
2026-08-03T10:45:00+00:00,banknifty,11,10,4233,5,2,4,0.273494,-0.359465,0.906454,0.51534,0.0
2026-08-03T10:45:00+00:00,intraday,1,1,303,0,0,1,0.0,0.0,0.0,0.56125,1.0
2026-08-03T10:45:00+00:00,nifty50,6,6,1408,3,2,1,0.378333,-0.335896,1.0,0.474654,0.0
2026-08-03T10:45:00+00:00,sensex,5,5,1697,3,0,2,0.610535,-0.000554,1.0,0.484032,0.0
2026-08-03T11:00:00+00:00,banknifty,6,6,1951,1,1,4,-0.000507,-0.654431,0.653417,0.486715,0.0
2026-08-03T11:00:00+00:00,intraday,4,4,1338,2,0,2,0.502536,-0.188428,1.0,0.456807,0.0
2026-08-03T11:00:00+00:00,nifty50,2,2,460,0,2,0,-0.333333,-0.333333,-0.333333,0.5725,0.0
2026-08-03T11:00:00+00:00,sensex,7,7,2374,3,3,1,-0.138189,-1.0,0.828135,0.435485,0.142857
2026-08-03T11:15:00+00:00,banknifty,5,5,1526,3,0,2,0.603108,0.00538,1.0,0.486704,0.0
2026-08-03T11:15:00+00:00,intraday,5,5,1773,2,0,3,0.459185,-0.19314,1.0,0.475785,0.2
2026-08-03T11:15:00+00:00,nifty50,7,7,1956,4,3,0,0.428369,-0.254269,1.0,0.492222,0.0
2026-08-03T11:15:00+00:00,sensex,6,6,2166,3,2,1,0.017937,-1.0,1.0,0.4175,0.166667
2026-08-03T11:30:00+00:00,banknifty,4,4,1264,2,1,1,0.243969,-0.876757,1.0,0.395,0.0
2026-08-03T11:30:00+00:00,intraday,6,6,1870,2,0,4,0.323236,-0.196575,0.843047,0.513538,0.0
2026-08-03T11:30:00+00:00,nifty50,7,7,2406,2,3,2,0.145999,-0.430895,0.722893,0.513371,0.0
2026-08-03T11:30:00+00:00,sensex,6,6,1763,1,2,3,-0.167051,-0.923952,0.589849,0.46612,0.0
2026-08-03T11:45:00+00:00,banknifty,4,4,1384,3,0,1,0.746225,0.161169,1.0,0.477989,0.0
2026-08-03T11:45:00+00:00,intraday,8,8,2193,1,0,7,0.125609,-0.188575,0.439793,0.577163,0.0
2026-08-03T11:45:00+00:00,nifty50,6,6,1688,2,0,4,0.338193,-0.180871,0.857256,0.513687,0.0
2026-08-03T11:45:00+00:00,sensex,11,11,3309,5,3,3,0.122017,-0.559919,0.803954,0.537363,0.090909
2026-08-03T12:00:00+00:00,banknifty,4,4,1751,2,1,1,0.248761,-0.848634,1.0,0.395,0.0
2026-08-03T12:00:00+00:00,intraday,4,4,1570,3,0,1,0.763123,0.196235,1.0,0.481622,0.0
2026-08-03T12:00:00+00:00,nifty50,6,6,1999,0,4,2,-0.221143,-0.392098,-0.050188,0.583309,0.0
2026-08-03T12:00:00+00:00,sensex,10,10,3691,6,3,1,0.219106,-0.564016,1.0,0.505876,0.1
2026-08-03T12:15:00+00:00,banknifty,3,3,1488,0,1,2,-0.336063,-1.0,0.376998,0.441138,0.0
2026-08-03T12:15:00+00:00,intraday,6,6,1643,1,0,5,0.167788,-0.232331,0.567906,0.537476,0.0
2026-08-03T12:15:00+00:00,nifty50,8,8,2516,0,6,2,-0.249821,-0.383751,-0.115891,0.613214,0.0
2026-08-03T12:15:00+00:00,sensex,7,7,2959,2,2,3,-0.135413,-0.839935,0.569108,0.487846,0.142857
2026-08-03T12:30:00+00:00,banknifty,3,3,1049,1,0,2,0.332675,-0.372894,1.0,0.442636,0.0
2026-08-03T12:30:00+00:00,intraday,9,9,2711,2,0,7,0.234519,-0.150662,0.619699,0.574214,0.111111
2026-08-03T12:30:00+00:00,nifty50,8,8,2095,3,2,3,0.295233,-0.225024,0.815491,0.535948,0.0
2026-08-03T12:30:00+00:00,sensex,4,4,995,2,2,0,0.025792,-1.0,1.0,0.395,0.0
2026-08-03T12:45:00+00:00,banknifty,3,3,1209,2,1,0,0.332828,-1.0,1.0,0.38375,0.0
2026-08-03T12:45:00+00:00,intraday,7,7,2441,2,0,5,0.288927,-0.151892,0.729746,0.540586,0.0
2026-08-03T12:45:00+00:00,nifty50,2,2,275,0,2,0,-0.333333,-0.333333,-0.333333,0.5725,0.0
2026-08-03T12:45:00+00:00,sensex,7,7,1588,3,2,2,0.017805,-0.799555,0.835165,0.465278,0.142857
2026-08-03T13:00:00+00:00,banknifty,12,12,4763,0,5,7,-0.414968,-0.776147,-0.053789,0.612764,0.0
2026-08-03T13:00:00+00:00,intraday,10,10,2659,5,0,5,0.572477,0.145172,0.999782,0.577039,0.2
2026-08-03T13:00:00+00:00,nifty50,3,3,882,0,1,2,-0.11652,-0.355497,0.122457,0.535955,0.0
2026-08-03T13:00:00+00:00,sensex,5,5,2020,1,2,2,-0.214965,-1.0,0.636555,0.435946,0.0
