window_start,market,tweet_count,unique_authors,engagement_total,bullish_count,bearish_count,neutral_count,composite_signal,ci95_lower,ci95_upper,confidence,manipulation_risk_mean
2026-08-03T15:15:00+00:00,banknifty,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-03T17:15:00+00:00,other,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-03T19:30:00+00:00,other,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-03T19:45:00+00:00,other,1,1,1,1,0,0,1.0,1.0,1.0,0.56125,0.0
2026-08-04T01:45:00+00:00,sensex,1,1,3,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T02:00:00+00:00,sensex,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T02:30:00+00:00,other,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T03:45:00+00:00,other,4,4,40,2,0,2,0.573519,-0.39583,1.0,0.40113,0.0
2026-08-04T04:00:00+00:00,other,2,2,1,0,0,2,0.0,0.0,0.0,0.5725,0.0
2026-08-04T04:30:00+00:00,banknifty,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T04:45:00+00:00,other,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T05:00:00+00:00,other,3,3,13,1,0,2,0.339124,-0.588764,1.0,0.398173,0.0
2026-08-04T05:15:00+00:00,nifty50,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T05:15:00+00:00,other,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T05:30:00+00:00,other,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T05:45:00+00:00,other,2,2,0,1,0,1,0.517614,-0.461778,1.0,0.376622,0.0
2026-08-04T05:45:00+00:00,sensex,2,2,1,0,0,2,0.0,0.0,0.0,0.5725,0.0
2026-08-04T06:00:00+00:00,banknifty,1,1,2,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T06:15:00+00:00,banknifty,1,1,2,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T06:15:00+00:00,nifty50,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T06:15:00+00:00,other,1,1,1,0,1,0,-1.0,-1.0,-1.0,0.56125,0.0
2026-08-04T06:45:00+00:00,nifty50,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T07:30:00+00:00,other,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T07:30:00+00:00,sensex,1,1,0,1,0,0,1.0,1.0,1.0,0.56125,0.0
2026-08-04T08:00:00+00:00,banknifty,1,1,0,0,1,0,-1.0,-1.0,-1.0,0.56125,0.0
2026-08-04T08:00:00+00:00,nifty50,1,1,0,1,0,0,1.0,1.0,1.0,0.56125,0.0
2026-08-04T08:15:00+00:00,banknifty,2,2,0,1,0,1,0.492271,-0.487612,1.0,0.376523,0.0
2026-08-04T08:15:00+00:00,other,2,2,0,2,0,0,1.0,1.0,1.0,0.5725,0.0
2026-08-04T08:30:00+00:00,other,3,2,15,1,2,0,-0.440623,-1.0,1.0,0.267083,0.0
2026-08-04T08:45:00+00:00,other,2,2,1,0,1,1,-0.437195,-1.0,0.535043,0.378052,0.0
